schedule,scenario,n_trials,width_rel_decrease,width_rel_decrease_lo,width_rel_decrease_hi,pass_change_pp,pass_discordant
Bminus,KE110,500,0.00162071914513555,0.00147887832268101,0.00176255996759009,-0.2,1
D1,KE110,500,-0.00291803734504435,-0.00306059840819759,-0.00277547628189111,-0.4,2
D2,KE110,500,-0.0028360949809194,-0.003002377878183,-0.0026698120836558,-0.4,2
D3,KE110,500,-0.00453286219069534,-0.00477023341432531,-0.00429549096706537,-0.800000000000001,4
D4,KE110,500,-0.00271224284449739,-0.00288423747032167,-0.00254024821867311,-0.4,2
Bminus,S00,500,0.00206015246139183,0.00191309008171571,0.00220721484106795,0,0
D1,S00,500,-0.00340048089886558,-0.00354767936630273,-0.00325328243142844,0,0
D2,S00,500,-0.00332648326080076,-0.00349653501833677,-0.00315643150326474,0,0
D3,S00,500,-0.00490194477631005,-0.00514632263457975,-0.00465756691804034,0,0
D4,S00,500,-0.00317721879649912,-0.00334994937858017,-0.00300448821441808,0,0
